iter	Passed	Remaining
0	143	142880
1	143	71611
2	143	47849
3	144	35957
4	144	28826
5	145	24068
6	145	20671
7	146	18125
8	146	16144
9	147	14563
10	147	13265
11	147	12183
12	148	11268
13	148	10482
14	149	9802
15	149	9206
16	150	8681
17	150	8215
18	151	7797
19	151	7421
20	151	7081
21	152	6771
22	152	6488
23	153	6229
24	153	5990
25	154	5770
26	154	5566
27	154	5377
28	155	5200
29	155	5035
30	156	4882
31	156	4738
32	157	4603
33	157	4475
34	157	4355
35	158	4242
36	158	4134
37	159	4032
38	159	3935
39	160	3843
40	160	3755
41	161	3672
42	161	3592
43	161	3516
44	162	3444
45	162	3374
46	163	3307
47	163	3244
48	164	3183
49	164	3124
50	164	3067
51	165	3013
52	165	2960
53	166	2910
54	166	2862
55	167	2815
56	167	2770
57	167	2726
58	168	2684
59	168	2643
60	169	2603
61	169	2566
62	170	2530
63	170	2494
64	171	2462
65	171	2429
66	172	2397
67	172	2363
68	172	2332
69	173	2303
70	173	2274
71	174	2245
72	174	2218
73	175	2191
74	175	2165
75	176	2139
76	176	2116
77	176	2091
78	177	2068
79	177	2045
80	178	2022
81	178	2000
82	179	1978
83	179	1958
84	179	1936
85	180	1916
86	180	1894
87	180	1875
88	181	1857
89	181	1838
90	182	1821
91	182	1803
92	183	1786
93	183	1769
94	184	1753
95	184	1736
96	184	1721
97	185	1705
98	185	1690
99	186	1675
100	186	1660
101	186	1644
102	187	1630
103	187	1616
104	188	1603
105	188	1589
106	188	1576
107	189	1563
108	189	1551
109	190	1538
110	190	1526
111	191	1514
112	191	1502
113	191	1491
114	192	1479
115	192	1467
116	193	1456
117	193	1446
118	193	1434
119	194	1424
120	194	1414
121	195	1404
122	195	1392
123	195	1382
124	196	1373
125	196	1363
126	196	1354
127	197	1343
128	197	1334
129	198	1326
130	198	1318
131	199	1309
132	199	1301
133	200	1292
134	200	1284
135	200	1276
136	201	1268
137	201	1260
138	202	1252
139	202	1244
140	203	1237
141	203	1229
142	203	1222
143	204	1214
144	204	1207
145	205	1200
146	205	1193
147	206	1186
148	206	1179
149	206	1172
150	207	1166
151	207	1159
152	208	1152
153	208	1146
154	209	1139
155	209	1133
156	209	1127
157	210	1121
158	210	1114
159	211	1108
160	211	1102
161	212	1097
162	212	1091
163	212	1085
164	213	1079
165	213	1074
166	214	1068
167	214	1063
168	215	1057
169	215	1052
170	215	1046
171	216	1041
172	216	1036
173	217	1031
174	217	1026
175	218	1021
176	218	1016
177	218	1011
178	219	1006
179	219	1001
180	220	995
181	220	990
182	220	985
183	221	981
184	221	976
185	222	972
186	222	967
187	222	962
188	223	958
189	223	954
190	224	949
191	224	945
192	225	941
193	225	936
194	225	932
195	226	928
196	226	924
197	227	921
198	227	917
199	228	913
200	228	909
201	229	905
202	229	901
203	230	897
204	230	893
205	230	890
206	231	886
207	231	882
208	232	878
209	232	875
210	233	871
211	233	868
212	233	864
213	234	860
214	234	857
215	235	853
216	235	850
217	236	846
218	236	843
219	236	840
220	237	836
221	237	833
222	238	830
223	238	826
224	239	823
225	239	820
226	239	816
227	240	813
228	240	810
229	241	807
230	241	804
231	242	801
232	242	798
233	242	795
234	243	792
235	243	788
236	244	785
237	244	782
238	244	779
239	245	777
240	245	774
241	246	771
242	246	768
243	247	765
244	247	762
245	247	759
246	248	757
247	248	754
248	249	751
249	249	748
250	250	746
251	250	743
252	250	740
253	251	738
254	251	735
255	252	732
256	252	730
257	252	727
258	253	724
259	253	722
260	254	719
261	254	717
262	255	714
263	255	712
264	255	709
265	256	707
266	256	704
267	257	702
268	257	700
269	258	697
270	258	695
271	258	692
272	259	690
273	259	688
274	260	685
275	260	683
276	260	681
277	261	678
278	261	676
279	262	674
280	262	672
281	263	670
282	263	667
283	264	665
284	264	663
285	264	661
286	265	658
287	265	656
288	266	654
289	266	652
290	266	650
291	267	648
292	267	646
293	268	644
294	268	642
295	269	640
296	269	637
297	269	635
298	270	633
299	270	631
300	271	629
301	271	627
302	272	625
303	272	623
304	272	621
305	273	619
306	273	618
307	274	616
308	274	614
309	275	612
310	275	610
311	275	608
312	276	606
313	276	604
314	277	602
315	277	600
316	278	598
317	278	597
318	278	595
319	279	593
320	279	591
321	280	589
322	280	587
323	280	586
324	281	584
325	281	582
326	282	580
327	282	579
328	283	577
329	283	575
330	283	573
331	284	572
332	284	570
333	285	568
334	285	566
335	286	565
336	286	563
337	286	561
338	287	560
339	287	558
340	288	557
341	288	555
342	289	553
343	289	552
344	289	550
345	290	548
346	290	547
347	291	545
348	291	543
349	291	542
350	292	540
351	292	539
352	293	537
353	293	535
354	294	534
355	294	532
356	294	531
357	295	529
358	295	528
359	296	526
360	296	525
361	297	523
362	297	522
363	297	520
364	298	519
365	298	517
366	299	515
367	299	514
368	300	513
369	300	511
370	300	510
371	301	508
372	301	507
373	302	505
374	302	504
375	302	502
376	303	501
377	303	499
378	304	498
379	304	497
380	305	495
381	305	494
382	305	492
383	306	491
384	306	490
385	307	488
386	307	487
387	308	485
388	308	484
389	308	483
390	309	481
391	309	480
392	310	479
393	310	477
394	311	476
395	311	475
396	311	473
397	312	472
398	312	471
399	313	469
400	313	468
401	314	467
402	314	465
403	314	464
404	315	463
405	315	462
406	316	460
407	316	459
408	317	458
409	317	456
410	317	455
411	318	454
412	318	453
413	319	451
414	319	450
